木村　文紀, (西), 右打ち, 28試合, 打率0.167, 35打席, 5安打, 0本塁打, 2打点, 12三振, 長打率0.200
武田　健吾, (オ), 右打ち, 10試合, 打率0.100, 20打席, 2安打, 0本塁打, 1打点, 3三振, 長打率0.200
鈴木　昂平, (オ), 右打ち, 45試合, 打率0.184, 43打席, 7安打, 0本塁打, 4打点, 8三振, 長打率0.184
永江　恭平, (西), 左打ち, 74試合, 打率0.162, 84打席, 12安打, 0本塁打, 3打点, 24三振, 長打率0.176
江村　直也, (ロ), 右打ち, 22試合, 打率0.130, 24打席, 3安打, 0本塁打, 4打点, 10三振, 長打率0.174
香月　一也, (ロ), 左打ち, 2試合, 打率0.167, 6打席, 1安打, 0本塁打, 0打点, 3三振, 長打率0.167
熊代　聖人, (西), 右打ち, 28試合, 打率0.167, 9打席, 1安打, 0本塁打, 0打点, 2三振, 長打率0.167
伊志嶺　忠, (楽), 左打ち, 27試合, 打率0.167, 22打席, 3安打, 0本塁打, 1打点, 4三振, 長打率0.167
山崎　勝己, (オ), 右打ち, 43試合, 打率0.152, 80打席, 10安打, 0本塁打, 0打点, 16三振, 長打率0.167
小田　裕也, (オ), 左打ち, 78試合, 打率0.137, 58打席, 7安打, 0本塁打, 3打点, 19三振, 長打率0.137
川島　慶三, (ソ), 右打ち, 20試合, 打率0.125, 50打席, 5安打, 0本塁打, 3打点, 10三振, 長打率0.125
横尾　俊建, (日), 右打ち, 10試合, 打率0.118, 17打席, 2安打, 0本塁打, 0打点, 3三振, 長打率0.118
石川　慎吾, (日), 右打ち, 12試合, 打率0.074, 28打席, 2安打, 0本塁打, 1打点, 5三振, 長打率0.074
新垣　勇人, (日), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
有原　航平, (日), 右打ち, 22試合, 打率0.000, 4打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
井口　和朋, (日), 右打ち, 37試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
石井　裕也, (日), 左打ち, 22試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
石川　直也, (日), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
石川　亮, (日), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
上原　健太, (日), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
榎下　陽大, (日), 右打ち, 16試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
大累　進, (日), 右打ち, 14試合, 打率0.000, 6打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
鍵谷　陽平, (日), 右打ち, 48試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
加藤　貴之, (日), 左打ち, 30試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
金平　将至, (日), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
