中川　大志, (楽), 右打ち, 22試合, 打率0.203, 80打席, 15安打, 2本塁打, 18打点, 21三振, 長打率0.311
中川　大志, (楽), 右打ち, 22試合, 打率0.203, 80打席, 15安打, 2本塁打, 18打点, 21三振, 長打率0.311
ボグセビック, (オ), 左打ち, 60試合, 打率0.187, 193打席, 32安打, 3本塁打, 18打点, 48三振, 長打率0.322
畠山　和洋, (ヤ), 右打ち, 45試合, 打率0.245, 190打席, 40安打, 1本塁打, 18打点, 24三振, 長打率0.325
畠山　和洋, (ヤ), 右打ち, 45試合, 打率0.245, 190打席, 40安打, 1本塁打, 18打点, 24三振, 長打率0.325
狩野　恵輔, (神), 右打ち, 66試合, 打率0.241, 95打席, 21安打, 3本塁打, 17打点, 18三振, 長打率0.356
_谷　裕亮, (ソ), 左打ち, 37試合, 打率0.247, 103打席, 20安打, 2本塁打, 16打点, 12三振, 長打率0.321
渡辺　直人, (西), 右打ち, 70試合, 打率0.309, 207打席, 56安打, 0本塁打, 16打点, 20三振, 長打率0.348
荒木　雅博, (中), 右打ち, 93試合, 打率0.246, 321打席, 71安打, 1本塁打, 16打点, 39三振, 長打率0.291
江川　智晃, (ソ), 右打ち, 42試合, 打率0.228, 138打席, 26安打, 4本塁打, 15打点, 44三振, 長打率0.386
ペレス, (楽), 左打ち, 24試合, 打率0.239, 93打席, 21安打, 5本塁打, 15打点, 29三振, 長打率0.432
西岡　剛, (神), 両打ち, 55試合, 打率0.295, 205打席, 56安打, 0本塁打, 15打点, 25三振, 長打率0.342
西岡　剛, (神), 両打ち, 55試合, 打率0.295, 205打席, 56安打, 0本塁打, 15打点, 25三振, 長打率0.342
森野　将彦, (中), 左打ち, 68試合, 打率0.268, 170打席, 38安打, 1本塁打, 15打点, 24三振, 長打率0.331
森野　将彦, (中), 左打ち, 68試合, 打率0.268, 170打席, 38安打, 1本塁打, 15打点, 24三振, 長打率0.331
足立　祐一, (楽), 右打ち, 73試合, 打率0.227, 208打席, 42安打, 1本塁打, 14打点, 36三振, 長打率0.270
石川　雄洋, (デ), 左打ち, 95試合, 打率0.209, 329打席, 62安打, 2本塁打, 14打点, 67三振, 長打率0.269
下園　辰哉, (デ), 左打ち, 67試合, 打率0.270, 85打席, 20安打, 1本塁打, 14打点, 13三振, 長打率0.338
_濱　卓也, (ロ), 左打ち, 53試合, 打率0.215, 158打席, 31安打, 3本塁打, 13打点, 30三振, 長打率0.319
松井　稼頭央, (楽), 両打ち, 56試合, 打率0.213, 179打席, 34安打, 2本塁打, 13打点, 42三振, 長打率0.300
大田　泰示, (巨), 右打ち, 62試合, 打率0.202, 119打席, 23安打, 4本塁打, 13打点, 45三振, 長打率0.377
大田　泰示, (巨), 右打ち, 62試合, 打率0.202, 119打席, 23安打, 4本塁打, 13打点, 45三振, 長打率0.377
